,kind,link,name,pitch,joined,location,market,size,stage,raised,website,years,annual_raised,raised_2mil,raised_12mil,size_numeric
284,Startup,https://angel.co/company/collabobeat,Collabobeat,"
Slack for doctors and their patients, in Oncology
",2013-09-01,Fermo,Mobile Health,1-10,Seed,25000,collabobeat.com,6.734246575342466,3712.3677786818553,0,0,5.0
285,Startup,https://angel.co/company/swan-sleep-solutions,SWAN Sleep Solutions,"
Corporate Wellness Rests on Sleep
",2013-12-01,Mountain View,Corporate Wellness,1-10,Seed,100000,SwanMedical.com,6.484931506849315,15420.363329108577,0,0,5.0
286,Startup,https://angel.co/company/medpac-technologies,MedPAC Technologies,"
Web/mobile applications for Long-term and Post Acute Care
",2014-09-01,New Albany,Hospitals,1-10,Seed,100000,medpactech.com,5.734246575342466,17439.082656473962,0,0,5.0
287,Startup,https://angel.co/company/nuvenote,Nuvenote,"
Intuitive appointment notes for doctors
",2014-02-01,Paris,Mobile Health,1-10,Seed,50000,nuvenote.com,6.315068493150685,7917.570498915401,0,0,5.0
288,Startup,https://angel.co/company/dochelp,DocHelp,"
Expedia for Healthcare
",2016-05-01,Seattle,Heathcare,1-10,Seed,160000,DocHelp.com,4.068493150684931,39326.59932659933,0,0,5.0
289,Startup,https://angel.co/company/kuveda,Kuveda,"
Big Data Analytics for Cancer Therapeutics
",2014-05-01,San Jose,Therapeutics,1-10,Seed,70000,kuveda.com,6.071232876712329,11529.783393501804,0,0,5.0
290,Startup,https://angel.co/company/doctordice-com,Docademic.com,"
Global collaborative communications system exclusively for Doctors
",2014-09-01,Mexico,Doctors,,Seed,150000,Docademic.com,5.734246575342466,26158.62398471094,0,0,
291,Startup,https://angel.co/company/sportly-2,SPORTLY,"
the business booster for fitness professionals
",2015-02-01,Klagenfurt,Fitness,1-10,Closed,127650,sportly.co,5.315068493150685,24016.623711340206,0,0,5.0
292,Startup,https://angel.co/company/bairo,Bairo,"
Redefining healthcare by data
",2015-11-01,Tampa,SaaS,11-50,Seed,125000,bairocorp.com,4.567123287671233,27369.526094781042,0,0,25.0
293,Startup,https://angel.co/company/futbol-fit-club-1,Futbol Fit Club,"
We are Zumba for soccer fans
",2016-06-01,Bogota,Fitness,1-10,Seed,70000,futbolfitclub.com,3.9835616438356163,17572.214580467677,0,0,5.0
294,Startup,https://angel.co/company/simplifit,SimpliFit,"
Weight Loss for the 21st Century
",2013-11-01,San Francisco,Fitness,1-10,Seed,20000,getSimpliFit.com,6.567123287671233,3045.473508552357,0,0,5.0
297,Startup,https://angel.co/company/classpass,ClassPass,"
One app for the best fitness classes
",2011-07-01,Sydney,Fitness,501-1000,Series C,84000000,classpass.com,8.906849315068493,9430944.324823132,1,1,750.0
298,Startup,https://angel.co/company/fabricgenomics,Fabric Genomics,"
Global healthcare platform for genomics-driven precision medicine, proven AI algorithms
",2013-07-01,Oakland,Bioinformatics,11-50,Series B,23000000,fabricgenomics.com,6.904109589041096,3331349.206349206,1,1,25.0
299,Startup,https://angel.co/company/cloudprime-quickdrop,CloudPrime QuickDrop™,"
Endpoint Encryption for private delivery of files & application messages
",2011-07-01,San Francisco,Data Security,11-50,Series B,2000000,quickdropit.com,8.906849315068493,224546.2934481698,0,0,25.0
300,Startup,https://angel.co/company/agilemd,AgileMD,"
EHR-integrated pathways, analytics, and scoring tools
",2012-03-01,San Francisco,Health Care Information Technology,1-10,Seed,2500000,agilemd.com,8.238356164383562,303458.59660791483,1,0,5.0
301,Startup,https://angel.co/company/lark-3,Lark,"
Lark's AI digital care platform enables virtual management of diabetes and heart disease
",2013-06-01,Silicon Valley,Consumer Electronics,51-200,Series C,71700000,lark.com,6.986301369863014,10262941.176470587,1,1,125.0
302,Startup,https://angel.co/company/myfitnesspal,MyFitnessPal,"
Nutrition and fitness tracking
",2012-04-01,San Francisco,Fitness,51-200,Acquired,18000000,myfitnesspal.com,8.153424657534247,2207661.2903225804,1,1,125.0
303,Startup,https://angel.co/company/doctor-com,Doctor.com,"
The one stop shop for solutions and services for hospitals, clinics, and providers
",2012-06-01,Atlanta,,51-200,Series A,8200000,doctor.com,7.986301369863014,1026758.1475128644,1,0,125.0
304,Startup,https://angel.co/company/electronic-health-network,Electronic Health Network,"
Share Medical Records Securely
",2013-04-01,Charleston,Business Services,1-10,Seed,1900000,enhsc.com,7.153424657534247,265607.0471083876,0,0,5.0
305,Startup,https://angel.co/company/livesafe,LiveSafe,"
",2013-09-01,-,Sports Stadiums,11-50,Series A,15750000,livesafemobile.com,6.734246575342466,2338791.7005695687,1,1,25.0
307,Startup,https://angel.co/company/madaket-health,Madaket Health,"
Connecting healthcare providers, insurance companies and intermediaries
",2014-12-01,Cambridge,B2B,11-50,Series B,10000000,madakethealth.com,5.484931506849315,1823176.8231768233,1,0,25.0
308,Startup,https://angel.co/company/station-x,Station X,"
Decoding genomes for better healthcare
",2013-10-01,San Francisco,Diagnostics,11-50,Series A,15875000,stationxinc.com,6.652054794520548,2386480.642504119,1,1,25.0
309,Startup,https://angel.co/company/dmetrics,dMetrics,"
AI for everyone
",2016-09-01,New York City,Machine Learning,11-50,Seed,7930000,dmetrics.com,3.7315068493150685,2125146.8428781205,1,0,25.0
310,Startup,https://angel.co/company/infermedica,Infermedica,"
AI-driven digital health company specialized in tools for preliminary diagnosis and triage
",2013-09-01,Wrocław,Mobile Health,51-200,Seed,3650000,infermedica.com,6.734246575342466,542005.6956875508,1,0,125.0
312,Startup,https://angel.co/company/resilient-network-systems,Resilient Network Systems,"
Delivering Connected Trust
",2014-06-01,San Francisco,Governments,11-50,-,14900000,resilient-networks.com,5.986301369863014,2489016.018306636,1,1,25.0
313,Startup,https://angel.co/company/connectrn,connectRN,"
Digital Nursing Marketplace
",2014-06-01,Baltimore,Hospitals,11-50,Series A,3100000,connectrn.com,5.986301369863014,517848.9702517162,1,0,25.0
314,Startup,https://angel.co/company/i-human-patients,i-Human Patients,"
",2016-03-01,Sunnyvale,Education Technology,11-50,Series A,2000000,i-human.com,4.235616438356164,472186.28719275555,0,0,25.0
315,Startup,https://angel.co/company/heal,Every.org,"
On-demand doctor house calls
",2014-10-01,-,Sharing Economy,51-200,Series B,48200000,heal.com,5.652054794520548,8527872.031022783,1,1,125.0
316,Startup,https://angel.co/company/aira,Aira,"
Visual Interpreter
",2015-05-01,San Diego,Assisitive Technology,11-50,Seed,4080000,aira.io,5.071232876712329,804538.0875202593,1,0,25.0
317,Startup,https://angel.co/company/sickweather,Sickweather,"
Waze for sickness
",2011-11-01,Baltimore,Mobile Health,1-10,Seed,870000,sickweather.com,8.56986301369863,101518.5421994885,0,0,5.0
318,Startup,https://angel.co/company/handle-my-health,Handle My Health,"
Reclaim your health
",2012-06-01,London,Internet of Things,1-10,Acquired,404882,handlemyhealth.com,7.986301369863014,50697.060034305316,0,0,5.0
319,Startup,https://angel.co/company/speechtrans-1,SpeechTrans,"
World's Most Advanced Language Translator
",2012-03-01,Lyndhurst,SaaS,11-50,Seed,320000,speechtrans.com,8.238356164383562,38842.7003658131,0,0,25.0
320,Startup,https://angel.co/company/clickcare,ClickCare,"
Simple, secure, spectacular hybrid store and forward telemedicine
",2012-03-01,Binghamton,mHealth,1-10,Seed,500000,clickcare.com,8.238356164383562,60691.71932158297,0,0,5.0
321,Startup,https://angel.co/company/gipis,Gipis,"
Personal training plans for runners
",2012-04-01,-,Fitness,1-10,Seed,300000,gip.is,8.153424657534247,36794.354838709674,0,0,5.0
322,Startup,https://angel.co/company/evinance,Evinance,"
Personalized Decision Support for Doctors and Patients
",2012-08-01,Montreal,Personal Health,1-10,Acquired,392000,evinance.com,7.8191780821917805,50133.14646110722,0,0,5.0
324,Startup,https://angel.co/company/credsimple,CredSimple,"
Helping healthcare organizations become more responsive to providers, members and patients
",2013-03-01,New York City,Hospitals,11-50,Seed,1500000,credsimple.com,7.238356164383561,207229.37168811506,0,0,25.0
325,Startup,https://angel.co/company/image32,image32,"
A disruptive approach to medical image sharing
",2013-03-01,Menlo Park,Cloud Computing,1-10,Acquired,600000,image32.com,7.238356164383561,82891.74867524602,0,0,5.0
326,Startup,https://angel.co/company/luminate-health,Luminate Health,"
Helping patients access and understand their lab results
",2015-02-01,San Mateo,Digital Health,1-10,Seed,1000000,luminatehealth.com,5.315068493150685,188144.3298969072,0,0,5.0
327,Startup,https://angel.co/company/healthcentrix,HealthCentrix - Prevvy.co,"
Connected Health Ecosystem beyond the clinic
",2013-07-01,San Francisco Bay Area,Mobile Health,1-10,Seed,530000,healthcentrix.com,6.904109589041096,76765.87301587302,0,0,5.0
328,Startup,https://angel.co/company/race-yourself,Race Yourself,"
Gamified Augmented Reality Exercise for Google Glass
",2013-08-01,San Francisco,Fitness,11-50,Seed,325000,raceyourself.com,6.8191780821917805,47659.70269184412,0,0,25.0
330,Startup,https://angel.co/company/amstatz,amSTATZ,"
Cloud-based software for personal trainers and studios
",2014-02-01,Chicago,Fitness,11-50,Seed,1450000,amstatz.com,6.315068493150685,229609.54446854664,0,0,25.0
331,Startup,https://angel.co/company/ava-me,Ava Accessibility,"
Live subtitles for any conversation. enjoy 24/7 access to conversations around you
",2014-03-01,San Francisco,Communications Hardware,11-50,-,1845000,ava.me,6.238356164383561,295750.9881422925,0,0,25.0
332,Startup,https://angel.co/company/tag-bio,Tag.bio,"
DIY data science in healthtech
",2014-09-01,San Francisco,Big Data Analytics,1-10,Seed,250000,tag.bio,5.734246575342466,43597.7066411849,0,0,5.0
333,Startup,https://angel.co/company/iscribes,iScribes,"
Medical documentation for the modern physician
",2015-07-01,Durham,SaaS,51-200,Seed,1040000,iscribes.co,4.904109589041096,212067.03910614524,0,0,125.0
334,Startup,https://angel.co/company/carvechi,Carvechi Technology,"
Enterprise data platform 
",2014-10-01,Miami,Entertainment Industry,11-50,Seed,300000,carvechitechnology.com,5.652054794520548,53078.04168686379,0,0,25.0
335,Startup,https://angel.co/company/lift-digital,LIFT Digital,"
virtual personal training & marketplace
",2015-02-01,Montreal,Fitness,11-50,Seed,1000000,liftsession.com,5.315068493150685,188144.3298969072,0,0,25.0
336,Startup,https://angel.co/company/motispark,MotiSpark,"
Personalized video nudges that keep people motivated
",2015-04-01,Los Angeles,Mental Health,1-10,Seed,225000,MotiSpark.com,5.153424657534247,43660.28708133971,0,0,5.0
337,Startup,https://angel.co/company/acrinta,Acrinta,"
Employee Wellness: Making it easier to live better
",2012-04-01,Pittsburgh,Corporate Wellness,1-10,Seed,130000,acrinta.com,8.153424657534247,15944.220430107527,0,0,5.0
338,Startup,https://angel.co/company/migym,MiGym,"
Mobile Apps for Fitness Clubs and Class Providers
",2013-01-01,Chicago,Location Based Services,-,Acquired,210000,migymapp.com,7.4,28378.378378378377,0,0,
339,Startup,https://angel.co/company/clinata,Clinata,"
World's Largest Marketplace for Clinical Research
",2013-09-01,Dallas,Medical Devices,1-10,Seed,100000,signup.clinata.com,6.734246575342466,14849.471114727421,0,0,5.0
340,Startup,https://angel.co/company/clicky-2,Clickypass,"
Clickypass is a membership program for fitness classes and activities
",2014-02-01,Miami,Fitness,11-50,Seed,125000,clickpass.com,6.315068493150685,19793.926247288502,0,0,25.0
343,Startup,https://angel.co/company/lynxfit,LynxFit (Pivot),"
EXPERT & DATA DRIVEN FITNESS
",2013-10-01,Washington DC,Fitness,1-10,Seed,70000,lynxfit.com,6.652054794520548,10523.064250411862,0,0,5.0
344,Startup,https://angel.co/company/healthcareblocks,Healthcare Blocks,"
HIPAA-compliant platform for building and hosting healthcare applications
",2014-02-01,Simi Valley,Mobile Health,1-10,Seed,50000,healthcareblocks.com,6.315068493150685,7917.570498915401,0,0,5.0
345,Startup,https://angel.co/company/kuveda,Kuveda,"
Big Data Analytics for Cancer Therapeutics
",2014-05-01,San Jose,Therapeutics,1-10,Seed,70000,kuveda.com,6.071232876712329,11529.783393501804,0,0,5.0
347,Startup,https://angel.co/company/sober,Sober,"
The sober social network
",2014-11-01,San Francisco,Online Dating,1-10,Seed,150000,sober.ly,5.567123287671233,26943.897637795275,0,0,5.0
349,Startup,https://angel.co/company/drchrono,DrChrono,"
On a mission to fix healthcare
",2011-02-01,Sunnyvale,Medical Devices,51-200,Series A,48725000,drchrono.com,9.317808219178081,5229234.048809174,1,1,125.0
350,Startup,https://angel.co/company/fabricgenomics,Fabric Genomics,"
Global healthcare platform for genomics-driven precision medicine, proven AI algorithms
",2013-07-01,Oakland,Bioinformatics,11-50,Series B,23000000,fabricgenomics.com,6.904109589041096,3331349.206349206,1,1,25.0
351,Startup,https://angel.co/company/sickweather,Sickweather,"
Waze for sickness
",2011-11-01,Baltimore,Mobile Health,1-10,Seed,870000,sickweather.com,8.56986301369863,101518.5421994885,0,0,5.0
352,Startup,https://angel.co/company/evinance,Evinance,"
Personalized Decision Support for Doctors and Patients
",2012-08-01,Montreal,Personal Health,1-10,Acquired,392000,evinance.com,7.8191780821917805,50133.14646110722,0,0,5.0
353,Startup,https://angel.co/company/vetcloud,VetCloud,"
Using data to transform animal healthcare
",2012-09-01,London,Cloud Management,1-10,Seed,400000,vetcloud.co,7.734246575342466,51718.03046404534,0,0,5.0
354,Startup,https://angel.co/company/etobb,eTobb,"
Interactive health platform connecting patients & doctors
",2012-12-01,Beirut,Mobile Health,11-50,Seed,326500,etobb.com,7.484931506849315,43620.973645680824,0,0,25.0
355,Startup,https://angel.co/company/sense-health,Sense Health,"
Smart communication designed for healthcare
",2012-12-01,New York City,Mobile Health,11-50,Seed,2000000,sensehealth.com,7.484931506849315,267203.513909224,0,0,25.0
356,Startup,https://angel.co/company/acupera,Acupera,"
Population Health Platform
",2013-03-01,San Francisco,Health Care Information Technology,11-50,Series A,4000000,acupera.com,7.238356164383561,552611.6578349735,1,0,25.0
357,Startup,https://angel.co/company/luminate-health,Luminate Health,"
Helping patients access and understand their lab results
",2015-02-01,San Mateo,Digital Health,1-10,Seed,1000000,luminatehealth.com,5.315068493150685,188144.3298969072,0,0,5.0
358,Startup,https://angel.co/company/transitscreen,TransitScreen,"
Helping corporate workplaces enhance the commute experience
",2013-05-01,Washington DC,Corporate Wellness,11-50,Closed,4475000,transitscreen.com,7.071232876712329,632845.7962030221,1,0,25.0
359,Startup,https://angel.co/company/wecounsel,WeCounsel,"
Telemedicine Software Service With An Emphasis In Mental Health
",2013-05-01,Chattanooga,Mental Health,1-10,Series A,4400000,wecounsel.com,7.071232876712329,622239.4420767145,1,0,5.0
360,Startup,https://angel.co/company/angelmd,angelMD,"
Equity Crowdfunding for Medical Startups
",2013-07-01,Seattle,Medical Devices,11-50,Seed,750000,angelmd.co,6.904109589041096,108630.95238095238,0,0,25.0
361,Startup,https://angel.co/company/rise-2,Rise,"
Affordable & effective 1:1 nutrition coaching
",2013-10-01,San Francisco,,1-10,Acquired,2300000,rise.us,6.652054794520548,345757.8253706755,1,0,5.0
362,Startup,https://angel.co/company/volt-athletics,Volt Athletics,"
The first performance training AI for everyone
",2013-09-01,Seattle,Fitness,11-50,Seed,3791474,voltathletics.com,6.734246575342466,563013.8364524003,1,0,25.0
363,Startup,https://angel.co/company/doctible,Doctible,"
Helping private practices to grow and thrive by driving patient retention
",2014-01-01,San Diego,SaaS,51-200,Seed,4200000,doctible.com,6.4,656250.0,1,0,125.0
366,Startup,https://angel.co/company/ringmd,RingMD,"
Our mission is to bring healthcare online & improve access to affordable health services
",2014-05-01,Singapore,Internet of Things,51-200,Seed,500000,ring.md,6.071232876712329,82355.59566787003,0,0,125.0
367,Startup,https://angel.co/company/docsapp,DocsApp,"
Making quality healthcare easily accessible to over a billion people! 
",2015-10-01,Bengaluru,Artificial Intelligence,201-500,Series A,8400000,docsapp.in,4.652054794520548,1805653.71024735,1,0,350.0
368,Startup,https://angel.co/company/chai,Chai,"
A biological testing lab on your desktop
",2014-12-01,Santa Clara,Medical Devices,11-50,Seed,5000000,chaibio.com,5.484931506849315,911588.4115884117,1,0,25.0
369,Startup,https://angel.co/company/infometers,Infometers,"
aggregates patient monitoring data, provides a standardized platform
",2012-04-01,Sunnyvale,Mobile Health,1-10,Acquired,50000,Infometers.com,8.153424657534247,6132.39247311828,0,0,5.0
370,Startup,https://angel.co/company/treatspace,Treatspace,"
Enterprise health networks for practices and hospitals
",2014-02-01,Pittsburgh,Mobile Health,1-10,Seed,25000,treatspace.com,6.315068493150685,3958.7852494577005,0,0,5.0
372,Startup,https://angel.co/company/compassmd,CompassMD,"
Relationship-centric yield optimization
",2013-07-01,Cleveland,SaaS,1-10,Seed,270000,compassmd.com,6.904109589041096,39107.142857142855,0,0,5.0
374,Startup,https://angel.co/company/gethealthy-2,GetHealthy,"
Patient engagement software and services powering the Direct Primary Care revolution
",2013-10-01,-,Mobile Health,1-10,Seed,200000,gethealthy.com,6.652054794520548,30065.897858319604,0,0,5.0
375,Startup,https://angel.co/company/collabobeat,Collabobeat,"
Slack for doctors and their patients, in Oncology
",2013-09-01,Fermo,Mobile Health,1-10,Seed,25000,collabobeat.com,6.734246575342466,3712.3677786818553,0,0,5.0
376,Startup,https://angel.co/company/simplifit,SimpliFit,"
Weight Loss for the 21st Century
",2013-11-01,San Francisco,Fitness,1-10,Seed,20000,getSimpliFit.com,6.567123287671233,3045.473508552357,0,0,5.0
378,Startup,https://angel.co/company/acorales,Acorales,"
Fitness and Health
",2014-01-01,Irvine,Fitness,1-10,Seed,10000,Wandri.com,6.4,1562.5,0,0,5.0
379,Startup,https://angel.co/company/runform-com,RUNform.com,"
Automatic video analyses of people in motion using just your smartphone
",2014-04-01,Europe,Fitness,1-10,Seed,50000,runform.com,6.153424657534247,8125.556544968833,0,0,5.0
380,Startup,https://angel.co/company/sportly-2,SPORTLY,"
the business booster for fitness professionals
",2015-02-01,Klagenfurt,Fitness,1-10,Closed,127650,sportly.co,5.315068493150685,24016.623711340206,0,0,5.0
381,Startup,https://angel.co/company/motispark,MotiSpark,"
Personalized video nudges that keep people motivated
",2015-04-01,Los Angeles,Mental Health,1-10,Seed,225000,MotiSpark.com,5.153424657534247,43660.28708133971,0,0,5.0
382,Startup,https://angel.co/company/gomotive-1,GoMotive,"
Revolutionizing Rehab and Training
",2015-12-01,Seattle,Fitness,1-10,Seed,225000,gomotive.com,4.484931506849315,50167.99022602321,0,0,5.0
384,Startup,https://angel.co/company/classpass,ClassPass,"
One app for the best fitness classes
",2011-07-01,Sydney,Fitness,501-1000,Series C,84000000,classpass.com,8.906849315068493,9430944.324823132,1,1,750.0
385,Startup,https://angel.co/company/care,Care.com,"
Offering an array of services that enable families to find, manage and pay for care
",2014-06-01,Austin,Bridging Online and Offline,201-500,IPO,154850000,care.com,5.986301369863014,25867391.304347824,1,1,350.0
387,Startup,https://angel.co/company/omada-health-1,Omada Health,"
Omada® empowers people to achieve their health goals, one step at a time
",2013-09-01,San Francisco,Therapeutics,201-500,Series C,71000000,omadahealth.com,6.734246575342466,10543124.491456468,1,1,350.0
388,Startup,https://angel.co/company/lark-3,Lark,"
Lark's AI digital care platform enables virtual management of diabetes and heart disease
",2013-06-01,Silicon Valley,Consumer Electronics,51-200,Series C,71700000,lark.com,6.986301369863014,10262941.176470587,1,1,125.0
389,Startup,https://angel.co/company/flatiron-health,Flatiron Health,"
 Accelerating cancer research and improving patient care
",2012-09-01,New York City,Health Care Information Technology,501-1000,Series A,328000000,flatiron.com,7.734246575342466,42408784.98051718,1,1,750.0
390,Startup,https://angel.co/company/remedy-partners,Remedy Partners,"
Powering the Potential of episodes & transforming healthcare
",2012-09-01,Norwalk,SaaS,501-1000,Acquired,85900000,remedypartners.com,7.734246575342466,11106447.042153737,1,1,750.0
391,Startup,https://angel.co/company/tracelink,TraceLink,"
We protect patients, enable health and ensure compliance
",2013-01-01,Rochester,Supply Chain Management,501-1000,Series C,80700000,tracelink.com,7.4,10905405.405405404,1,1,750.0
392,Startup,https://angel.co/company/grand-rounds,Grand Rounds,"
We raise the standard of healthcare for everyone, everywhere
",2013-05-01,Reno,Startups,501-1000,Series C,106000000,grandrounds.com,7.071232876712329,14990313.83184812,1,1,750.0
393,Startup,https://angel.co/company/ubiome,uBiome,"
Big Data from Bacteria
",2013-03-01,San Francisco,Big Data,201-500,Series C,104500000,ubiome.com,7.238356164383561,14436979.560938682,1,1,350.0
394,Startup,https://angel.co/company/madison-reed,Madison Reed,"
At home hair color with ammonia free hair dye, that results in beautiful, healthy and natural hair
",2013-05-01,San Francisco,Retail Technology,201-500,Series C,70100000,madison-reed.com,7.071232876712329,9913405.656722201,1,1,350.0
396,Startup,https://angel.co/company/vestahealthcare,Vesta Healthcare,"
Improving medical outcomes/reducing costs by engaging caregivers through technology
",2014-01-01,Fort Worth,Technology,11-50,Series A,73500000,vestahealthcare.com,6.4,11484375.0,1,1,25.0
399,Startup,https://angel.co/company/patientpop,PatientPop,"
PatientPop drives results for practices with a platform designed for providers, focusing on growth
",2015-02-01,Santa Monica,B2B,201-500,Series B,75000000,patientpop.com,5.315068493150685,14110824.74226804,1,1,350.0
400,Startup,https://angel.co/company/hinge-health,Hinge Health,"
Hinge health delivers best practice care that improves chronic pain without drugs or surgery
",2015-03-01,San Francisco,Fitness,51-200,Series C,125800000,hingehealth.com,5.238356164383561,24015167.364016738,1,1,125.0
401,Startup,https://angel.co/company/alto,Alto Pharmacy,"
Our mission: improve quality of life for everyone who needs medicine
",2015-10-01,Las Vegas,Healthcare Services,201-500,Series D,353000000,alto.com,4.652054794520548,75880447.58539459,1,1,350.0
402,Startup,https://angel.co/company/virta-health,Virta Health,"
The first and only clinically-proven treatment to reverse type 2 diabetes w/o drugs or surgery
",2016-04-01,San Francisco,Healthcare,51-200,Series C,175000000,virtahealth.com,4.1506849315068495,42161716.17161716,1,1,125.0
403,Startup,https://angel.co/company/diagram-ventures,Diagram Ventures,"
A network of successful entrepreneurs and the transformational companies they create
",2016-03-01,Montréal-Nord,Insurance,11-50,Closed,85000000,diagram.ca,4.235616438356164,20067917.20569211,1,1,25.0
404,Startup,https://angel.co/company/drchrono,DrChrono,"
On a mission to fix healthcare
",2011-02-01,Sunnyvale,Medical Devices,51-200,Series A,48725000,drchrono.com,9.317808219178081,5229234.048809174,1,1,125.0
405,Startup,https://angel.co/company/netpulse,Netpulse,"
Branded mobile apps for health clubs
",2013-01-01,San Francisco,Fitness,51-200,Series D,39300000,netpulse.com,7.4,5310810.810810811,1,1,125.0
406,Startup,https://angel.co/company/syapse,Syapse,"
Powering precision medicine with insights from a global oncology network
",2012-02-01,Radnor,Bioinformatics,51-200,Series C,59500000,syapse.com,8.317808219178081,7153326.745718051,1,1,125.0
408,Startup,https://angel.co/company/weave,Weave,"
Communication Platform for SMBs
",2012-05-01,Utah,Telephony,51-200,Series C,58000000,getweave.com,8.07123287671233,7186014.93550577,1,1,125.0
409,Startup,https://angel.co/company/benchling,Benchling,"
Informatics platform to accelerate, measure, and forecast R&D from discovery through bioprocessing
",2012-08-01,San Francisco,Synthetic Biology,51-200,Series C,61900000,benchling.com,7.8191780821917805,7916433.076384023,1,1,125.0
410,Startup,https://angel.co/company/apixio,Apixio,"
Apixio's AI platform transforms disparate data into actionable knowledge in healthcare
",2012-08-01,San Mateo,Insurance,51-200,Series D,53401348,apixio.com,7.8191780821917805,6829534.695164681,1,1,125.0
411,Startup,https://angel.co/company/athos,Athos,"
Wearable fitness technology
",2012-10-01,Redwood City,Fitness,11-50,Seed,50700000,liveAthos.com,7.652054794520548,6625671.321160044,1,1,25.0
413,Startup,https://angel.co/company/evidation,Evidation Health,"
New ways to measure health in everyday life
",2013-05-01,San Mateo,Big Data,51-200,Series C,57200000,evidation.com,7.071232876712329,8089112.7469972875,1,1,125.0
414,Startup,https://angel.co/company/stride-health,Stride,"
Find the best possible insurance plan at the lowest possible price
",2013-08-01,San Francisco,Personal Finance,51-200,Series B,38925000,stridehealth.com,6.8191780821917805,5708165.930092406,1,1,125.0
415,Startup,https://angel.co/company/soothe,Soothe,"
Massage Delivered To You
",2014-06-01,Los Angeles,,1-10,Series B,47300000,soothe.com,5.986301369863014,7901372.99771167,1,1,5.0
416,Startup,https://angel.co/company/limelight-health,Limelight Health,"
Underwriting & Rating platform for the Employee Benefits Industry
",2014-03-01,Des Moines,Insurance,51-200,Series B,44210000,limelighthealth.com,6.238356164383561,7086802.810715854,1,1,125.0
417,Startup,https://angel.co/company/amino-inc,Amino,"
Amino is a healthcare financial wellness benefit for mid-sized and large employers
",2014-04-01,San Francisco,Small and Medium Businesses,11-50,Seed,46150000,amino.com,6.153424657534247,7499888.691006233,1,1,25.0
418,Startup,https://angel.co/company/whoop,WHOOP,"
Whoop is a performance optimization system for elite athletes and teams
",2015-07-01,Boston,Fitness,51-200,Series C,47000000,whoop.com,4.904109589041096,9583798.882681563,1,1,125.0
419,Startup,https://angel.co/company/heal,Every.org,"
On-demand doctor house calls
",2014-10-01,-,Sharing Economy,51-200,Series B,48200000,heal.com,5.652054794520548,8527872.031022783,1,1,125.0
420,Startup,https://angel.co/company/elysium-health,Elysium Health,"
Our mission is to turn critical scientific advancements into accessible consumer products
",2014-12-01,New York City,Science,51-200,Series C,65000000,elysiumhealth.com,5.484931506849315,11850649.350649351,1,1,125.0
421,Startup,https://angel.co/company/hicleo,Cleo,"
Cleo is a family support system that employers offer to working parents
",2016-10-01,San Francisco,Families,51-200,Series B,40947605,hicleo.com,3.649315068493151,11220627.496246247,1,1,125.0
422,Startup,https://angel.co/company/vineti,Vineti,"
Software that helps deliver advanced therapies to save lives 
",2016-05-01,San Francisco,Pharmaceuticals,51-200,Series A,47250000,vineti.com,4.068493150684931,11613636.363636363,1,1,125.0
423,Startup,https://angel.co/company/arcadia_io,Arcadia,"
Value Based Performance Management for Health Plans and Provider Groups Nationwide
",2016-08-01,Burlington,Information Services,201-500,Series A,43000000,arcadia.io,3.8164383561643835,11267049.533381192,1,1,350.0
424,Startup,https://angel.co/company/fabricgenomics,Fabric Genomics,"
Global healthcare platform for genomics-driven precision medicine, proven AI algorithms
",2013-07-01,Oakland,Bioinformatics,11-50,Series B,23000000,fabricgenomics.com,6.904109589041096,3331349.206349206,1,1,25.0
426,Startup,https://angel.co/company/gns-healthcare,GNS Healthcare,"
Discovering what works in healthcare
",2014-01-01,Cambridge,Big Data Analytics,11-50,Series C,25450000,gnshealthcare.com,6.4,3976562.5,1,1,25.0
427,Startup,https://angel.co/company/quest-analytics,Quest Analytics,"
Powering the healthcare market with validated doctor data
",2012-04-01,Kansas City,Big Data Analytics,51-200,Acquired,24125000,betterdoctor.com,8.153424657534247,2958879.36827957,1,1,125.0
428,Startup,https://angel.co/company/gauss-surgical-1,Gauss Surgical,"
AI-Enabled Platform for Surgery
",2013-09-01,Menlo Park,Computer Vision,11-50,Series C,38026000,gausssurgical.com,6.734246575342466,5646659.886086249,1,1,25.0
429,Startup,https://angel.co/company/opencare,Opencare.com,"
Find a top-rated dentist in minutes
",2013-04-01,San Francisco,Online Reservations,11-50,Seed,24550000,opencare.com,7.153424657534247,3431922.6350057446,1,1,25.0
430,Startup,https://angel.co/company/healthify,Healthify,"
Building a world where no one's health is hindered by their need
",2013-03-01,Remote,Mobile Health,51-200,Series B,32000000,healthify.us,7.238356164383561,4420893.262679788,1,1,125.0
431,Startup,https://angel.co/company/kinsa,Kinsa,"
The world's smartest thermometer
",2013-04-01,San Francisco,Mobile Health,11-50,Series B,28600000,kinsahealth.com,7.153424657534247,3998085.024894676,1,1,25.0
432,Startup,https://angel.co/company/healthifyme,HealthifyMe Wellness,"
India and South East Asia's largest and most loved health & fitness app
",2014-12-01,Bengaluru,Fitness,501-1000,Series B,25000000,healthifyme.com,5.484931506849315,4557942.057942058,1,1,750.0
433,Startup,https://angel.co/company/fitmob,fitmob,"
""uber/lyft"" for fitness
",2013-06-01,San Francisco,Fitness,11-50,Series A,21250000,fitmob.com,6.986301369863014,3041666.6666666665,1,1,25.0
